Feature,Stability_Count
Minimum_duration_of_fixations_min_content,50
Maximum_duration_of_fixations_mean_content,50
Maximum_duration_of_fixations_std_content,50
Duration_of_first_fixation_mean_content,50
Total_duration_of_whole_fixations_max_content,50
Average_duration_of_whole_fixations_mean_content,50
Maximum_duration_of_whole_fixations_mean_content,50
Maximum_duration_of_whole_fixations_std_content,50
Duration_of_first_whole_fixation_mean_content,50
Total_duration_of_Visit_mean_content,50
Total_duration_of_Visit_std_content,50
Total_duration_of_Visit_max_content,50
Average_duration_of_Visit_mean_content,50
Average_duration_of_Visit_std_content,50
Average_duration_of_Visit_max_content,50
Minimum_duration_of_Visit_mean_content,50
Minimum_duration_of_Visit_std_content,50
Minimum_duration_of_Visit_max_content,50
Maximum_duration_of_Visit_mean_content,50
Maximum_duration_of_Visit_std_content,50
Maximum_duration_of_Visit_max_content,50
Number_of_Visits_mean_content,50
Number_of_Visits_max_content,50
Time_to_first_Visit_mean_content,50
Time_to_first_Visit_std_content,50
Time_to_first_Visit_max_content,50
Duration_of_first_Visit_mean_content,50
Duration_of_first_Visit_std_content,50
Duration_of_first_Visit_max_content,50
First-pass_first_fixation_duration_mean_content,50
First-pass_first_fixation_duration_std_content,50
First-pass_first_fixation_duration_max_content,50
First-pass_duration_mean_content,50
First-pass_duration_std_content,50
First-pass_duration_max_content,50
Selective_regression-path_duration_mean_content,50
Selective_regression-path_duration_std_content,50
Selective_regression-path_duration_max_content,50
First-pass_regression_mean_content,50
Average_whole-fixation_eye_openness_mean_content,50
Average_whole-fixation_eye_openness_std_content,50
Average_whole-fixation_eye_openness_max_content,50
Total_duration_of_fixations_max_content,49
Average_duration_of_fixations_mean_content,49
Maximum_duration_of_fixations_max_content,49
Maximum_duration_of_whole_fixations_max_content,49
Duration_of_first_whole_fixation_std_content,49
Time_to_entry_saccade_min_content,49
First-pass_regression_std_content,49
Time_to_exit_saccade_min_content,45
Duration_of_first_fixation_std_content,44
Average_whole-fixation_pupil_diameter_mean_content,36
Average_duration_of_fixations_max_content,36
Average_pupil_diameter_max_content,34
Average_pupil_diameter_mean_content,34
Average_pupil_diameter_min_content,28
Number_of_Visits_std_content,26
Time_to_first_Visit_min_content,24
Time_to_first_fixation_min_content,20
Time_to_first_fixation_max_content,20
Minimum_duration_of_fixations_max_content,19
Average_duration_of_whole_fixations_std_content,19
Minimum_duration_of_whole_fixations_mean_content,17
Average_duration_of_whole_fixations_max_content,15
word_frequency_screen_min_content,15
Average_whole-fixation_pupil_diameter_max_content,15
Average_duration_of_fixations_std_content,11
total_word_count_screen_max_content,11
Peak_velocity_of_exit_saccade_min_content,10
Number_of_saccades_in_AOI_std_content,10
Minimum_duration_of_fixations_mean_content,10
Average_whole-fixation_pupil_diameter_min_content,9
word_id_screen_max_content,9
Time_to_first_fixation_std_content,6
Minimum_duration_of_Visit_min_content,4
Time_to_first_whole_fixation_std_content,4
total_lemma_count_screen_max_content,3
Maximum_duration_of_fixations_min_content,3
Total_duration_of_whole_fixations_mean_content,3
Total_duration_of_fixations_mean_content,2
Total_duration_of_fixations_std_content,2
Total_duration_of_whole_fixations_std_content,2
Time_to_first_whole_fixation_mean_content,2
Minimum_duration_of_whole_fixations_max_content,2
Time_to_first_whole_fixation_max_content,1
Number_of_saccades_in_AOI_max_content,1
Average_duration_of_Visit_min_content,1
Time_to_exit_saccade_std_content,1
Peak_velocity_of_entry_saccade_min_content,1
Time_to_first_fixation_mean_content,1
Duration_of_first_whole_fixation_max_content,1
